external_exercise_id,ymove_title,final_italian_name,compared_existing_exercise_key,compared_existing_exercise_name,score,score_gap,contradictions,reasons,classification,technical_source
044f938a-5772-4a0e-b39a-8a85393830e7,Tucked L-sit hold,Tucked L-sit hold,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
31a0d4f4-2ad8-4f51-b47f-e7dc05e787f3,Barbell Ab Rollout - On Knees,Ab rollout in ginocchio con bilanciere,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
3620635f-3fcb-4552-8959-dc6ec09d9ea2,A steps,A-skip / A steps,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
3730e7c4-d50d-4986-88ea-aba97ccf9b8c,Tucked L-sit hold (Hanging),Tucked L-sit hold (Hanging),,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
4001ef61-57a1-4f18-8c0b-8167e15c6832,Open and close jumping jacks,presa stretta Salto,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
42dc0603-91e8-4a1e-8bf0-ef9478718106,Seated leg raises,Seduto Sollevamento gambe,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
47ab9d26-7959-46bb-9744-1e48695f5e70,Bear crawl into explosive jumps,Bear crawl con salto esplosivo,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
4c55ca15-3665-4db7-b11d-7d4273263f66,1 Leg Broad Jump,Salto in lungo monopodalico,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
6e9512fe-74b9-4c8a-bae2-a54361937b0e,Barbell Thruster - Straight Bar Thruster,Thruster con bilanciere,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
71bf8e65-38ff-4145-b42c-341c8d574b59,8 Count Body Builder,Body builder in 8 tempi,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
742b9b5a-2d25-4321-9769-bdc267ac59f7,Step ups,Step-up,,,35,0,,attrezzatura compatibile,CREATE_NEW_VERIFIED,public.exercise_movement_metadata + public.exercises read-only snapshot
