"TimeCreated","Provider","EventId","Component","ErrorSource","ErrorType","PrimaryBDF","SecondaryBDF","PrimaryDeviceName","SecondaryDeviceName","VEN","DEV","SUBSYS","REV","RawEventData","MessageExcerpt"
"2026-07-26T13:50:19","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:50:07","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:49:55","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:49:43","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:49:32","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:49:20","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:49:08","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:48:56","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:48:44","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
"2026-07-26T13:48:33","Microsoft-Windows-WHEA-Logger","17","PCI Express Root Port","Advanced Error Reporting (PCI Express)",,"0x0:0x1C:0x4","0x0:0x0:0x0","PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0",,"8086","9DBC","850D103C","F0","ErrorSource=4; FRUId={00000000-0000-0000-0000-000000000000}; BridgeControl=0x0; Segment=0x0; Version=0x101; Device=0x1c; Bus=0x0; PortType=4; VendorID=0x8086; BridgeStatus=0x0; Command=0x407; UncorrectableErrorStatus=0x0; SecondaryBus=0x0; ValidBits=0xdf; SecondaryFunction=0x0; CorrectableErrorStatus=0x1; HeaderLog=00000000000000000000000000000000; Function=0x4; PrimaryDeviceName=PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0; SecondaryDeviceName=; Status=0x10; FRUText=; DeviceSerialNumber=0x0; DeviceID=0x9dbc; ClassCode=0x30400; SecondaryDevice=0x0","Si è verificato un errore hardware che è stato corretto. Componente: PCI Express Root Port Origine errore: Advanced Error Reporting (PCI Express) Bus primario:Dispositivo:Funzione: 0x0:0x1C:0x4 Bus secondario:Dispositivo:Funzione: 0x0:0x0:0x0 Nome dispositivo primario:PCI\VEN_8086&DEV_9DBC&SUBSYS_850D103C&REV_F0 Nome dispositivo secondario:"
