"Timestamp","PID","ProcessName","CpuPercentDelta","WorkingSetMB","PrivateMemoryMB","ReadMBsDelta","WriteMBsDelta"
"2026-07-26T13:44:30","19520","chrome","0","491,86","796,75","0","0"
"2026-07-26T13:44:30","21724","chrome","0,29","4685,73","5789,16","0","0"
"2026-07-26T13:44:30","22168","chrome","0","323,02","386,48","0","0"
"2026-07-26T13:44:30","876","Memory Compression","0","775,95","5,32","0","0"
"2026-07-26T13:44:30","23592","powershell","1,51","220,25","199,39","0","0"
"2026-07-26T13:44:38","19520","chrome","0","491,86","796,75","0","0"
"2026-07-26T13:44:38","21724","chrome","0,14","4687,14","5790,36","0","0"
"2026-07-26T13:44:38","22168","chrome","0","323,02","386,48","0","0"
"2026-07-26T13:44:38","876","Memory Compression","0","775,88","5,32","0","0"
"2026-07-26T13:44:38","23592","powershell","1,54","211,82","191,08","0","0"
"2026-07-26T13:44:46","19520","chrome","0","491,86","796,75","0","0"
"2026-07-26T13:44:46","21724","chrome","0,14","4687,87","5790,8","0","0"
"2026-07-26T13:44:46","22168","chrome","0","323,02","386,48","0","0"
"2026-07-26T13:44:46","876","Memory Compression","0","775,88","5,32","0","0"
"2026-07-26T13:44:46","23592","powershell","1,58","211","190,5","0","0"
"2026-07-26T13:44:55","19520","chrome","0","491,86","796,75","0","0"
"2026-07-26T13:44:55","21724","chrome","0,17","4707,42","5799,55","0","0"
"2026-07-26T13:44:55","22168","chrome","0","323,02","386,48","0","0"
"2026-07-26T13:44:55","876","Memory Compression","0","775,98","5,32","0","0"
"2026-07-26T13:44:55","23592","powershell","1,68","205,64","184,66","0","0"
"2026-07-26T13:45:03","19520","chrome","0,02","491,86","796,75","0","0"
"2026-07-26T13:45:03","21724","chrome","0,14","4708,09","5799,98","0","0"
"2026-07-26T13:45:03","22168","chrome","0","323,02","386,48","0","0"
"2026-07-26T13:45:03","876","Memory Compression","0","775,95","5,32","0","0"
"2026-07-26T13:45:03","23592","powershell","1,55","204,02","183,08","0","0"
"2026-07-26T13:45:11","19520","chrome","0","491,86","796,75","0","0"
"2026-07-26T13:45:11","21724","chrome","0,14","4708,86","5800,75","0","0"
"2026-07-26T13:45:11","22168","chrome","0","323,02","386,48","0","0"
"2026-07-26T13:45:11","876","Memory Compression","0","775,95","5,32","0","0"
"2026-07-26T13:45:11","23592","powershell","1,58","197,03","176","0","0"
"2026-07-26T13:45:19","19520","chrome","0","491,9","796,75","0","0"
"2026-07-26T13:45:19","21724","chrome","0,1","4710,57","5802,37","0","0"
"2026-07-26T13:45:19","22168","chrome","0","323,24","386,48","0","0"
"2026-07-26T13:45:19","876","Memory Compression","0","775,91","5,32","0","0"
"2026-07-26T13:45:19","23592","powershell","1,55","194,7","173,68","0","0"
"2026-07-26T13:45:27","19520","chrome","0","491,9","796,75","0","0"
"2026-07-26T13:45:27","21724","chrome","0,14","4711,59","5803,22","0","0"
"2026-07-26T13:45:27","22168","chrome","0","323,24","386,48","0","0"
"2026-07-26T13:45:27","876","Memory Compression","0","775,88","5,32","0","0"
"2026-07-26T13:45:27","23592","powershell","1,5","194,9","173,85","0","0"
"2026-07-26T13:45:36","19520","chrome","0","491,9","796,75","0","0"
"2026-07-26T13:45:36","21724","chrome","0,1","4712,2","5803,57","0","0"
"2026-07-26T13:45:36","22168","chrome","0","323,24","386,48","0","0"
"2026-07-26T13:45:36","876","Memory Compression","0","775,82","5,32","0","0"
"2026-07-26T13:45:36","23592","powershell","1,62","194,93","173,85","0","0"
"2026-07-26T13:45:44","19520","chrome","0","491,9","796,75","0","0"
"2026-07-26T13:45:44","21724","chrome","0,12","4712,73","5803,92","0","0"
"2026-07-26T13:45:44","22168","chrome","0","323,24","386,48","0","0"
"2026-07-26T13:45:44","876","Memory Compression","0","775,65","5,32","0","0"
"2026-07-26T13:45:44","23592","powershell","1,68","195,03","174,09","0","0"
"2026-07-26T13:45:52","19520","chrome","0","491,9","796,75","0","0"
"2026-07-26T13:45:52","21724","chrome","0,12","4714,06","5805,06","0","0"
